title,artist,year,playcount
Bell Bottom Blues,Derek & The Dominos,1970,4
Won't Get Fooled Again,The Who,1971,56
Long Haired Country Boy,Charlie Daniels Band,1975,5
R.O.C.K. In the U.S.A.,John Mellencamp,1985,4
Rocky Raccoon,The Beatles,1968,3
The Ballad Of Curtis Loew,Lynyrd Skynyrd,1974,8
November Rain,Guns N' Roses,1991,13
Take It Easy,Eagles,1972,75
Holiday,Scorpions,1978,4
Angel,Jimi Hendrix,1971,1
Wind Of Change,Scorpions,1990,10
Lodi,Creedence Clearwater Revival,1969,5
Presence of the Lord,Blind Melon,1969,2
Lucy In The Sky With Diamonds,The Beatles,1967,20
Stranger In A Strange Land,Leon Russell,1971,1
In the Summertime,Mungo Jerry,1970,2
You Give Love A Bad Name,Bon Jovi,1986,63
Tears In Heaven,Eric Clapton,1992,1
The Final Countdown,Europe,1986,5
Destroyer,The Kinks,1981,3
You Might Think,The Cars,1984,19
Cinnamon Girl,Neil Young,1969,29
YOUR MOTHER SHOULD KNOW,The Beatles,1967,1
Just What I Needed,The Cars,1978,113
Doom And Gloom,Rolling Stones,2012,1
Soul Kitchen,The Doors,1967,15
Tube Snake Boogie,ZZ Top,1981,32
Lay It On the Line,Triumph,1979,52
Somebody Get Me A Doctor,Van Halen,1979,3
It's the End of the World As We Know It (And I Feel Fine),R.E.M.,1987,30
Back In the U.S.S.R.,The Beatles,1968,28
I Drink Alone,George Thorogood,1985,33
Rock Me,Great White,1987,4
That's All,Genesis,1983,35
Children Of The Sun,Billy Thorpe,1979,2
The Long Run,Eagles,1979,50
My Life,Billy Joel,1978,11
Wheels Of Fortune,The Doobie Brothers,1976,1
Bad Moon Rising,Creedence Clearwater Revival,1969,32
Birthday (Live),Paul McCartney & Wings,1990,1
The Needle and the Damage Done,Neil Young,1972,4
Interstate Love Song,Stone Temple Pilots,1994,23
Buddy Holly,Weezer,1994,2
Dirty White Boy,Foreigner,1979,17
Run To The Hills,Iron Maiden,1982,27
Nobody's Fool,Cinderella,1986,9
High Enough,Damn Yankees,1990,1
White Room,Cream,1968,68
Industrial Disease,Dire Straits,1982,21
Touch of Grey,Grateful Dead,1987,26
Cherry Bomb,John Mellencamp,1987,1
Born Too Late,Clarks,2000,2
Amie,Pure Prairie League,1972,4
You May Be Right,Billy Joel,1980,30
When I'm Gone,3 Doors Down,2002,6
My Sharona,The Knack,1979,13
Dreams I'll Never See,Molly Hatchet,1978,3
Betty Lou's Gettin' Out Tonigh,Bob Seger,1980,1
It's Hard to Be a Saint in the City,Bruce Springsteen,1973,1
Levon,Elton John,1971,8
Turn The Page,Metallica,1998,13
Show Me The Way,Nektar,1974,1
Sweet Talkin' Woman,Electric Light Orchestra,1978,3
Magic,The Cars,1984,11
No One Knows,Queens of the Stone Age,2002,1
Alone Again,Dokken,1984,1
Roll With the Changes,REO Speedwagon,1978,43
Black Cow,Steely Dan,1977,2
Riders On The Storm,The Doors,1971,43
Amanda,Boston,1986,4
Woodstock,Crosby Stills Nash & Young,1970,37
Pour Some Sugar On Me,Def Leppard,1987,70
Rag Doll,Aerosmith,1987,47
Sad But True,Metallica,1991,4
Summertime Blues,Blue Oyster Cult,1994,1
Fight The Good Fight,Triumph,1981,7
Baby Please Don't Go,AC/DC,1975,1
Grey Ghost,Henry Paul Band,1979,1
SHOCK THE MONKEY,Peter Gabriel,1982,2
Shot in the Dark,Ozzy Osbourne,1986,10
Hang Fire,Rolling Stones,1981,2
Open Arms,Journey,1982,10
Frenchette,David Johansen,1978,1
Money,Pink Floyd,1973,84
Dirty Laundry,Don Henley,1982,37
Forever Man,Eric Clapton,1985,9
Leave It,Yes,1983,20
Jeremy,Pearl Jam,1991,16
Mony Mony,Billy Idol,1981,21
Hunger Strike,Temple of the Dog,1990,4
Sister Golden Hair,America,1975,19
Uncle Albert/Admiral Halsey,Paul McCartney & Wings,1971,4
Rockin' Down The Highway,The Doobie Brothers,1972,13
Hurts So Good,John Mellencamp,1982,40
CAN'T GET IT OUT OF MY HEAD,Electric Light Orchestra,1974,1
Harmony,Elton John,1973,1
Don't Lose My Number,Phil Collins,2016,1
Redneck Friend,Jackson Browne,1973,1
You'll Accompany Me,Bob Seger,1980,1
One Headlight,The Wallflowers,1996,2
When The Levee Breaks,Led Zeppelin,1971,17
Holiday / Boulevard of Broken Dreams,Green Day,2004,5
Black Hole Sun,Soundgarden,1994,16
Use Somebody,Kings of Leon,2008,2
BLUE MONEY,Van Morrison,1970,1
Dixie/Sweet Home Alabama,Lynyrd Skynyrd,1974,33
Night Moves,Wildlife,1976,23
Take It Easy,Jackson Browne,1973,5
Positively 4th Street,Bob Dylan,1965,3
Freeway Jam,Jeff Beck,1975,1
She Don't Know Me,Bon Jovi,1984,2
Let It Grow,Eric Clapton,1974,4
Fade To Black,Metallica,1984,4
Hells Bells,AC/DC,1980,74
Living Loving Maid (She's Just a Woman),Led Zeppelin,1969,7
Drive My Car,The Beatles,1965,4
Angie,Rolling Stones,1973,32
Time Waits for No One,Rolling Stones,1975,1
Just Dropped In,Kenny Loggins,1997,1
Kentucky Woman,Deep Purple,1968,2
Make Me Smile,Chicago,1970,1
Ice Cream Man,Van Halen,1978,13
Bicycle Race/fat Bottomed Girls,Queen,1978,5
Uncle Tom's Cabin,Warrant,1990,1
The Ballad Of John And Yoko,The Beatles,1969,8
Child In Time,Deep Purple,1970,1
The Break Up Song,Greg Kihn Band,1981,49
Growin' Up,Bruce Springsteen,1973,1
Mr. Tinkertrain,Ozzy Osbourne,1992,1
There's Only One Way to Rock,Sammy Hagar,1981,15
Change of Heart,Tom Petty & The Heartbreakers,1982,1
Diary Of A Madman,Ozzy Osbourne,1981,1
Addicted To That Rush,Mr. Big,1989,1
Love In An Elevator,Aerosmith,1989,35
Fire Woman,Crosby Stills & Nash,1989,1
Tonight's the Night (Gonna Be Alright),Rod Stewart,1976,2
Love Stinks,J. Geils Band,1980,10
She Loves My Automobile,ZZ Top,1979,1
Welcome To My Nightmare,Alice Cooper,1975,10
Sex and Candy,Marcy Playground,1997,2
Look At Little Sister,Stevie Ray Vaughan,1984,8
Bang the Drum All Day,Todd Rundgren,1983,9
Don't Let Him Go,REO Speedwagon,1980,1
California Girls,David Lee Roth,1986,2
No Excuses,Alice In Chains,1994,2
Mind Games,John Lennon,1973,1
The Joker,Steve Miller Band,1973,114
Crumblin' Down,John Mellencamp,1983,17
Hot Rod Lincoln,Commander Cody,1971,2
Stereo/All Mixed Up,The Cars,1978,3
What a Fool Believes,The Doobie Brothers,1978,5
Feeling Stronger Every,Chicago,1973,2
Sweet Hitch Hiker,Creedence Clearwater Revival,1971,1
Pink,Aerosmith,1997,1
Night Moves,Bob Seger,1976,47
Golden Years,David Bowie,1975,10
Highway To Hell,AC/DC,1979,92
Losing My Religion,R.E.M.,1991,27
Funk #49,The James Gang,1970,4
When It's Love,Van Halen,1988,22
Shattered,Rolling Stones,1978,36
Three Little Birds,Bob Marley,1980,1
Fooled around and Fell in Love,Elvin Bishop,1975,1
Bucks Boogie,Blue Oyster Cult,1975,1
Hocus Pocus,Focus,1971,6
Radar Love,Golden Earring,1973,66
Breakdown,The Alan Parsons Project,1977,5
Authority Song,John Mellencamp,1983,20
Patience,Guns N' Roses,1988,21
My Generation,The Who,1965,50
No Woman No Cry,Bob Marley,1975,1
Last Kiss,Pearl Jam,1999,3
You Could Be Mine,Guns N' Roses,1991,4
Foolin',Def Leppard,1983,71
Dirty Water,The Standells,1966,3
Walks Like A Woman,Baton Rouge,1990,1
PRETTY WOMAN,Van Halen,1982,5
Happy Together,Turtles,1967,1
Can't Get Loose,Sammy Hagar,1982,1
Soul Sacrifice,Santana,1969,2
Blue On Black,Kenny Wayne Shepherd,1997,15
Heaven,Bryan Adams,1984,4
Elected,Alice Cooper,1973,1
Devil Inside,INXS,1988,5
My Sacrifice,Creed,2001,2
Burnin' Sky,Bad Company,1977,41
I've Got A Feeling,The Beatles,1970,3
Hot Legs,Rod Stewart,1978,33
GOT MY MIND SET ON YOU,George Harrison,1987,1
The Real Me,The Who,1973,12
COVER OF THE ROLLING STONE,Dr. Hook & the Medicine Show,1974,2
Bad Love,Eric Clapton,1989,14
Mercury Blues,Steve Miller Band,1968,1
It's Only Rock 'n Roll,Rolling Stones,1974,57
Fire Woman,The Cult,1989,3
Pride And Joy,Stevie Ray Vaughan,1983,48
The South's Gonna Do It Again,Charlie Daniels Band,1975,1
Dancing With Myself,Billy Idol,1980,20
SOUL MAN,Sam & Dave,1967,3
Landslide,Fleetwood Mac,1975,29
Run Like Hell,Pink Floyd,1979,59
Dancing In the Dark,Bruce Springsteen,1984,10
Heart of Gold,Neil Young,1972,17
Give a Little Bit,Supertramp,1977,73
Texas Flood,Stevie Ray Vaughan,1983,4
Rollin' Stoned,Great White,1999,1
Everybody Wants to Rule the World,Tears for Fears,1985,6
Hello I Love You,The Doors,1968,35
Sentimental Lady,Fleetwood Mac,1972,1
The Warrior,Scandal,1984,5
Are You Experienced?,Jimi Hendrix,1967,4
Fairies Wear Boots,Black Sabbath,1970,1
It's All I Can Do,The Cars,1979,3
Getting In Tune,The Who,1971,2
Higher,Creed,1999,4
Athena,The Who,1982,5
Fortune Teller,Rolling Stones,1964,1
Lady Picture Show,Stone Temple Pilots,1996,1
My Demons,Starset,2014,3
Lights,Journey,1978,93
Jamming,Bob Marley,1977,5
Here I Go Again,Whitesnake,1987,84
Highway Star,Deep Purple,1972,22
What I Got,Sublime,1996,4
Finish What Ya Started,Van Halen,1988,27
I Can't Fight This Feeling,REO Speedwagon,1984,2
You Better You Bet,The Who,1981,26
Jammin' Me,Tom Petty & The Heartbreakers,1987,2
One Way Or Another,Blondie,1978,21
Doctor My Eyes,Jackson Browne,1972,9
Mr. Brownstone,Guns N' Roses,1987,1
Oh Well,Fleetwood Mac,1969,10
Harvester Of Sorrow,Metallica,1988,1
Mama Kin,Aerosmith,1973,5
Back On The Road Again,REO Speedwagon,1979,1
Dreamer,Foghat,1974,2
Lovin' Every Minute of It,Loverboy,1985,8
Hand of Fate,Rolling Stones,1976,2
No Easy Way Out,Robert Tepper,1985,1
Back On The Chain Gang,The Pretenders,1982,40
Turn It On Again,Genesis,1980,23
Smokin' in the Boys Room,Motley Crue,1989,28
BALLAD OF JOHN AND YOKO,The Beatles,1969,1
Getting Better,The Beatles,1967,1
Piano Man,Billy Joel,1973,37
Stop Draggin' My Heart Around,Stevie Nicks w/ Tom Petty and the Heartbreakers,1981,9
Saturday Night Special,Lynyrd Skynyrd,1975,21
Centerfield,John Fogerty,1985,11
I'm Eighteen,Alice Cooper,1971,24
Wicked Sensation,Lynch Mob,1990,1
You Shook Me,Led Zeppelin,1969,3
Tears Are Falling,Kiss,1985,1
King Of Pain,The Police,1983,10
Radioactive,The Firm,1985,3
Sugar Boogie,Molkie Cole,1977,1
Here Comes The Sun,The Beatles,1969,24
Love Has Taken Its Toll,Foreigner,1978,1
Casey Jones,Grateful Dead,1970,3
Houses of the Holy,Led Zeppelin,1975,45
Ain't Talkin' 'bout Love,Van Halen,1978,69
Tuff Enuff,The Fabulous Thunderbirds,1986,15
Like a Hurricane,Neil Young,1977,2
Your Wildest Dreams,The Moody Blues,1986,1
Welcome To The Boomtown,David & David,1986,1
I'm Free,The Who,1969,1
Another Rainy Night,Queensryche,1990,2
Hello It's Me,Todd Rundgren,1972,1
Band on the Run,Paul McCartney & Wings,1973,50
Always With Me Always With You,Joe Satriani,1988,5
Summertime,Janis Joplin,1968,3
Uncle Albert/Admiral Halsey,Paul McCartney & Linda McCartney,1971,2
Tweeter and the Monkey Man,The Traveling Wilburys,1988,1
Head Over Heels,Tears for Fears,1985,1
Good Clean Fun,Allman Brothers Band,1990,2
Superman,The Kinks,1979,1
Words As Weapons,Seether,2014,11
The Back Seat Of My Car,Paul McCartney & Linda McCartney,1971,1
Iron Man,Black Sabbath,1972,40
Rock You Like a Hurricane,Scorpions,1984,69
Mystery Achievement,The Pretenders,1979,18
I'm Leaving,Taxxi,1982,1
You Can Leave Your Hat On (Live),Joe Cocker,1986,1
Unchained,Van Halen,1981,49
Tell It Like It Is,Heart,1980,2
Fire Down Below,Bob Seger,1977,1
No One Like You,Scorpions,1982,76
Only the Young,Journey,1985,3
Purple Haze,Ozzy Osbourne,2005,1
Games People Play,The Alan Parsons Project,1981,3
Mr. Crowley,Ozzy Osbourne,1980,5
Scar Tissue,Red Hot Chili Peppers,1999,8
Think I'm In Love,Eddie Money,1982,22
Wild Side,Motley Crue,1987,11
Who Made Who,AC/DC,1986,12
Against The Wind,Bob Seger,1980,39
Fly By Night,Rush,1975,32
Shout It out Loud,Kiss,1976,5
I Don't Want To Know,Fleetwood Mac,1977,3
Silent Lucidity,Queensryche,1990,10
Ready For Love,Bad Company,1974,45
Same Old Song and Dance,Aerosmith,1974,18
Do It Again,Steely Dan,1972,46
All My Life,Foo Fighters,2002,2
The Letter,Joe Cocker,1970,1
No More Mr. Nice Guy,Alice Cooper,1973,39
Suite: Judy Blue Eyes,Crosby Stills & Nash,1969,10
Knocking At Your Backdoo,Deep Purple,1984,1
Christeen Sixteen,Kiss,1977,1
Horizontal Bop,Bob Seger,1980,2
Listen To The Music,The Doobie Brothers,1972,48
Eye In the Sky,The Alan Parsons Project,1982,2
Too Old To Rock 'n' Roll,Jethro Tull,1976,10
Lights Out (Live),UFO,1976,1
Another Day,Paul McCartney & Wings,1971,2
Heavy Metal,Sammy Hagar,1982,10
Dancing Days,Led Zeppelin,1973,28
Youth Gone Wild,Skid Row,1989,22
Burnin' for You,Blue Oyster Cult,1981,107
I Want You to Want Me,Cheap Trick,1977,110
Keep Your Hands To Yourself,Georgia Satellites,1986,17
Freeze-frame,J. Geils Band,1981,17
I've Just Seen A Face,The Beatles,1965,3
Ooh La La,Faces,1973,1
Cold Hard Bitch,Jet,2004,2
Whole Lotta Rosie,AC/DC,1977,3
Welcome To The Machine,Pink Floyd,1975,41
Bring It On Home,Led Zeppelin,1969,1
Take It Back,Pink Floyd,1994,1
And Your Bird Can Sing,The Beatles,1966,1
Can't Buy Me Love,The Beatles,1964,5
Fly Like an Eagle,Steve Miller Band,1976,85
Another One Bites the Dust,Queen,1980,102
Itchycoo Park,The Small Faces,1967,1
What's Up?,4 Non Blondes,1992,3
Over the Hills and Far Away,Led Zeppelin,1973,94
Eye of the Tiger,Survivor,1982,8
Little Queenie,Rolling Stones,1970,1
Enjoy the Silence,Depeche Mode,1990,2
Baby Hold On,Eddie Money,1977,26
Baby Please Don't Go,Aerosmith,2004,1
Strutter,Kiss,1974,1
The Battle Of Evermore,Led Zeppelin,1971,11
The Midnight Special,Creedence Clearwater Revival,1969,1
Nothin' But A Good Time,Poison,1988,21
The Heart of the Matter,Don Henley,1989,11
I'm A Man,The Spencer Davis Group,1967,1
Party,Boston,1978,7
Life During Wartime,Talking Heads,1979,23
One Way Street,Aerosmith,1973,1
Jet Airliner,Steve Miller Band,1977,42
Someone Saved My Life Tonight,Elton John,1975,4
Midnight Rider,Allman Brothers Band,1970,21
TWO OUT OF THREE AIN'T BAD,Meat Loaf,1977,1
Break On Through,The Doors,1967,52
Call Me,Blondie,1980,26
What's Your Name,Lynyrd Skynyrd,1977,64
The Journey/It's Easy,Boston,1978,1
Where To Now St. Peter,Elton John,1970,1
Women,Foreigner,1979,1
Civil War,Guns N' Roses,1991,1
Moneytalks,AC/DC,1990,20
Beds Are Burning,Midnight Oil,1988,6
My Head's In Mississippi,ZZ Top,1990,1
Urgent,Foreigner,1981,61
Gloria,Van Morrison,1964,1
He Can't Love You,Michael Stanley,1980,1
White Wedding,Billy Idol,1982,84
Fire and Ice,Pat Benatar,1981,1
Rock & Roll Woman,Buffalo Springfield,1967,21
Space Station #5,Montrose,1973,1
Captain Jack,Billy Joel,1973,7
The Stranger,Billy Joel,1977,5
No Rain,Blind Melon,1992,2
Don't Bring Me Down,Animals II,1966,1
I Thank You,ZZ Top,1979,16
Toys in the Attic,Aerosmith,1975,2
Space Cowboy,Steve Miller Band,1969,2
Gypsy,The Moody Blues,1969,1
Rock Steady,Bad Company,1974,3
Master of Puppets,Metallica,1986,2
Right Down the Line,Gerry Rafferty,1978,8
Black Water,The Doobie Brothers,1974,57
HEARD IT IN A LOVE SONG,The Marshall Tucker Band,1977,1
You Got Lucky,Tom Petty & The Heartbreakers,1982,71
Seasons of Wither,Aerosmith,1974,2
Like a Rolling Stone,Bob Dylan,1965,3
Solsbury Hill,Peter Gabriel,1977,31
Domino,Van Morrison,1970,1
Kick It Out,Heart,1977,7
Lowdown,Boz Scaggs,1976,1
Summer Of '69,Bryan Adams,1984,52
I Can't Tell You Why,Eagles,1979,2
Lightning Crashes,Live,1994,4
A Conspiracy,The Black Crowes,1994,1
All Along the Watchtower,Jimi Hendrix,1968,141
Behind Blue Eyes,The Who,1971,75
Bound for the Floor,Local H,1996,2
You're Going To Lose That Girl,The Beatles,1965,1
Exodus,Bob Marley,1977,1
Working for the Weekend,Loverboy,1981,27
Prove It All Night,Bruce Springsteen,1978,2
For What It's Worth,Buffalo Springfield,1966,40
Lyin' Eyes,Eagles,1975,27
Jeepster,T. Rex,1971,1
Jumpin' Jack Flash,Rolling Stones,1968,72
Maggot Brain,Funkadelic,1971,1
Holiday (Live),Green Day,2004,4
Walk Away,James Gang,1971,10
Rock And Roll Never Forgets,Bob Seger,1977,24
Waterloo Sunset,The Kinks,1967,9
Telephone Line,Electric Light Orchestra,1976,1
Something In the Air,Thunderclap Newman,1969,1
Hey Jude (Live),Paul McCartney & Wings,1968,1
Used To Love Her,Guns N' Roses,1988,1
Give Me Love,George Harrison,1973,3
AFRICA,Toto,1982,2
Californication,Red Hot Chili Peppers,1999,4
Crazy Little Thing Called Love,Queen,1979,57
Should I Stay Or Should,The Clash,1982,58
If You Love Somebody Set Them Free,Sting,1985,1
Hush,Deep Purple,1968,14
Gloria,The Doors,1983,5
Yours Is No Disgrace,Yes,1971,1
New Kid In Town,Eagles,1976,2
Wrapped Around Your Finger,The Police,1983,17
Art For Arts Sake,10cc,1975,1
Save Your Love,Great White,1987,1
Peg,Steely Dan,1977,3
Dream Police,Cheap Trick,1979,5
Long Time Gone,Crosby Stills & Nash,1969,1
I Can't Hold Back,Survivor,1984,4
And the Cradle Will Rock...,Van Halen,1980,43
Get A Haircut,George Thorogood,1993,1
Bang a Gong (Get It On),T. Rex,1971,82
Stuck In the Middle With You,Stealers Wheel,1972,37
Freewill,Rush,1980,60
Train In Vain,The Clash,1979,12
I'm On Fire,Bruce Springsteen,1984,14
Rock 'n' Roll Fantasy,Bad Company,1979,91
How Long,Ace,1974,1
Behind The Lines,Genesis,1980,2
Low,Cracker,1993,2
Every Breath You Take,The Police,1983,32
A Whiter Shade of Pale,Procol Harum,1967,3
Rikki Don't Lose That Number,Steely Dan,1974,5
Seventeen,Winger,1988,2
Crocodile Rock,Elton John,1972,7
Desperado,Eagles,1973,5
Paint It Black,Rolling Stones,1966,58
Listen To What The Man Says,Paul McCartney & Wings,1975,3
Street Corner Serenade,Wet Willie,1977,2
Hit Me With Your Best Shot,Pat Benatar,1980,62
ALL YOU ZOMBIES,Hooters,1985,4
You Really Got Me,The Kinks,1964,20
My Sweet Lord,George Harrison,1970,6
Seagull,Bad Company,1974,1
Don't Know What You Got,Cinderella,1988,3
Hot Blooded,Foreigner,1978,82
Down by the River,Neil Young,1969,2
Let It Be,The Beatles,1970,31
Don't Stop Me Now,Queen,1977,2
Fly To The Angels,Slaughter,1990,1
Cigarette,Clarks,1994,4
Sunshine of Your Love,Cream,1967,11
Cover Me,Bruce Springsteen,1984,1
Feelin' Satisfied,Boston,1978,44
Once Bitten Twice Shy,Great White,1989,12
Monday Morning,Fleetwood Mac,1975,30
She's a Rainbow,Rolling Stones,1967,1
The Memory Remains,Metallica,1997,3
Bonzo's Montreaux,Led Zeppelin,1982,3
Walking On The Moon,The Police,1979,13
Knockin' On Heaven's Door,Eric Clapton,1977,16
Hey Hey My My,Neil Young,1978,14
Treat Me Right,Pat Benatar,1980,1
Black And Blue,Van Halen,1988,9
Get It While You Can,Janis Joplin,1971,1
Into The Mystic,Van Morrison,1970,1
Blaze of Glory,Bon Jovi,1990,8
New Sensation,INXS,1987,2
Rocky Mountain Way,Ozzy Osbourne,2005,1
Sex Type Thing,Stone Temple Pilots,1992,1
Like a Rolling Stone,Jimi Hendrix,1965,1
Feel Like Makin' Love,Bad Company,1975,113
Five To One,The Doors,1968,5
The Trooper,Iron Maiden,1983,3
Travelin' Band,Creedence Clearwater Revival,1970,12
Stay Up Late,Talking Heads,1985,33
I Can't Quit You Baby,Led Zeppelin,1969,1
So Into You,Atlanta Rhythm Section,1976,1
Jamie's Cryin',Van Halen,1978,96
Let It Ride,Bachman-Turner Overdrive,1973,13
Love Shack,The B-52's,1989,5
The World I Know,Collective Soul,1995,1
Hot Rockin',Judas Priest,1981,1
I Don't Care Anymore,Phil Collins,1982,38
Centerfold,J. Geils Band,1981,78
Merry-Go-Round,Mama's Pride,1977,1
Early,Ringo Starr,1971,1
Do You Know What I Mean,Lee Michaels,1971,3
No More No More,Aerosmith,1975,2
If You Could Only See,Tonic,1996,1
Oh Sherrie,Steve Perry,1984,12
Little Dreamer,Van Halen,1978,11
Jingo,Santana,1969,1
Alone,Heart,1987,4
Take Me Home Tonight,Eddie Money,1986,35
Twilight Zone,Golden Earring,1983,75
2112: Overture / The Temples of Syrinx (Chronicles Version),Rush,1976,2
I Don't Know,Ozzy Osbourne,1980,8
With Or Without You,U2,1987,49
Cheap Sunglasses,ZZ Top,1980,34
Stop Draggin' My Heart Around,Tom Petty & The Heartbreakers,1981,2
Jailbreak,Thin Lizzy,1976,16
Right Here Right Now,Jesus Jones,1991,3
Moonlight Drive,The Doors,1967,17
Armageddon It,Def Leppard,1987,23
Home Sweet Home,Motley Crue,1985,29
Low Rider,War,1975,81
Tuesday's Gone,Lynyrd Skynyrd,1973,31
Jean Genie,David Bowie,1973,5
Pride of Man,Quicksilver Messenger Service,1968,1
The Load-out/stay,Jackson Browne,1977,21
Long Live Rock,The Who,1972,13
Love Hurts,Nazareth,1976,26
Shine,Collective Soul,1993,20
Small Town,John Mellencamp,1985,55
Working Man,Rush,1975,24
Sgt. Pepper/with A Little Help From My Friends,The Beatles,1967,11
More Than Words,Extreme,1991,1
New York State Of Mind,Billy Joel,1976,2
Long Distance Runaround,Yes,1972,35
If Looks Could Kill,Heart,1985,2
Witchy Woman,Eagles,1972,14
Funeral for a Friend (Love Lies Bleeding),Elton John,1973,5
Ordinary Average Guy,Joe Walsh,1991,2
Jet City Woman,Queensryche,1990,6
Starman,David Bowie,1972,1
Bloody Well Right,Supertramp,1974,3
Rock And Roll Hoochie Koo,Rick Derringer,1974,55
Take It on the Run,REO Speedwagon,1981,46
Lady Writer,Dire Straits,1979,2
Seven Bridges Road,Eagles,1980,14
Magic Power,Triumph,1981,27
Poundcake,Van Halen,1991,1
Immigrant Song,Led Zeppelin,1970,87
We Built This City,Jefferson Starship,1985,3
I HEAR YOU KNOCKING,Dave Edmunds,1970,1
Two Of Us,The Beatles,1970,2
Maybe,Clarks,1996,2
Goodbye To Romance,Ozzy Osbourne,1980,2
Please Please Me,The Beatles,1963,2
Right Now,Van Halen,1991,25
Rumors In The Air,Night Ranger,1983,1
Talk Dirty To Me,Poison,1987,1
Can't You See,The Marshall Tucker Band,1973,52
Nothing Else Matters,Metallica,1991,10
Song 2,Blur,1997,3
Creep,Stone Temple Pilots,1993,7
Take the Money and Run,Steve Miller Band,1976,71
Got Me Under Pressure,ZZ Top,1983,29
She's So Cold,Rolling Stones,1980,21
These Days,Foo Fighters,2011,2
The Spirit of Radio,Rush,1980,77
Teacher I Need You,Elton John,1973,1
Plain Jane,Sammy Hagar,1979,2
Katmandu,Bob Seger,1975,7
World Turning,Fleetwood Mac,1975,6
Get Off Of My Cloud,Rolling Stones,1965,17
Roadrunner,Jonathan Richman,1977,1
Ohio,Crosby Stills Nash & Young,1970,6
ANGELOS,Dick Siegel,1979,1
Tumbling Dice,Rolling Stones,1972,11
Going Mobile,The Who,1971,12
Born In the U.S.A.,Bruce Springsteen,1984,14
1979,Smashing Pumpkins,1995,3
Love Is A Battlefield,Pat Benatar,1983,28
Synchronicity II,The Police,1983,35
Where Have All the Good Times Gone!,Van Halen,1982,1
Rock The Casbah,The Clash,1982,61
Love Her Madly,The Doors,1971,56
Who's Behind The Door,Zebra,1983,1
Trippin' on a Hole in a Paper Heart,Stone Temple Pilots,1996,1
Man On the Moon,R.E.M.,1992,23
There's No Way Out Of Here,David Gilmour,1978,3
Nothing Is Easy,Jethro Tull,1969,2
The Cowboy Song,Thin Lizzy,1976,1
Starrider,Foreigner,1977,1
Venus and Mars/Rock Show,Paul McCartney & Wings,1975,2
Why Can't We Be Friends,War,1975,1
Who Are You,The Who,1978,94
Money for Nothing,Dire Straits,1985,56
South City Midnight Lady,The Doobie Brothers,1973,1
Spoonman,Soundgarden,1994,6
Train Train,Blackfoot,1979,25
All Right Now,Free,1970,97
Sultans of Swing,Dire Straits,1978,79
Trans Am (Highway Wonderland),Sammy Hagar,1979,2
Iris,The Goo Goo Dolls,1998,2
THE SPIDER AND THE FLY,Rolling Stones,1965,1
Mutha (Don't Wanna Go To School Today),Extreme,1989,1
Mother,Pink Floyd,1979,19
Move It On Over,George Thorogood,1978,14
Roundabout,Yes,1971,44
For Those About To Rock,AC/DC,1981,46
Somebody To Love,Queen,1976,69
Son of a Son of a Sailor,Jimmy Buffett,1978,1
Bad Medicine,Bon Jovi,1988,7
All Day And All Of The Night,The Kinks,1964,7
The Happiest Days Of Our Lives/another Brick In The Wall,Pink Floyd,1979,44
America,Simon & Garfunkel,1968,1
IT'S ALL OVER NOW,Rolling Stones,1964,1
Analog Man,Joe Walsh,2012,1
Loser,Grateful Dead,1970,1
Candle in the Wind,Elton John,1973,14
Bad Motor Scooter,Montrose,1973,30
You Can Call Me Al,Paul Simon,1986,1
While You See a Chance,Steve Winwood,1980,4
Let Me Take You Home Tonight,Boston,1976,22
The Wind Cries Mary,Jimi Hendrix,1967,21
Suzie Q,Creedence Clearwater Revival,1968,8
Peaches En Regalia,Frank Zappa,1987,1
Fuel,Metallica,1997,2
Two Tickets To Paradise,Eddie Money,1977,59
Only You Know And I Know,Dave Mason,1970,1
I Saw Her Standing There,The Beatles,1963,3
Somebody's Baby,Jackson Browne,1982,7
She's The One,Bruce Springsteen,1975,1
Don't Stand So Close To Me,The Police,1980,64
See You on the Other Side,Ozzy Osbourne,1995,3
Life in the Fast Lane,The New Eagles,1976,3
Changes,Ozzy Osbourne,1972,1
Angel,Aerosmith,1987,12
CARS,Gary Numan,1979,1
Kings and Queens,Aerosmith,1977,1
Wild Honey Pie,The Beatles,1968,1
Better Man,Pearl Jam,1994,17
How Many More Times,Led Zeppelin,1969,2
Hand In My Pocket,Alanis Morissette,1995,1
Persephone,Wishbone Ash,1980,1
The Rover,Led Zeppelin,1975,2
End of the Line,The Traveling Wilburys,1988,2
Fresh Air,Quicksilver Messenger Service,1970,1
The Other Side,Aerosmith,1990,11
Born On the Bayou,Creedence Clearwater Revival,1969,25
In A Gadda Da Vida,Iron Butterfly,1968,1
Blue Sky,Allman Brothers Band,1972,1
Rocket Man,Elton John,1972,68
That's the Way,Led Zeppelin,1970,1
Little Lies,Fleetwood Mac,1987,1
Drive,The Cars,1984,3
Lido Shuffle,Boz Scaggs,1976,11
December,Collective Soul,1995,8
Eight Days A Week,The Beatles,1964,6
Slow An' Easy,Whitesnake,1984,6
Baker Street,Foo Fighters,1997,1
Gone,The Black Crowes,1994,1
Mississippi Queen,Mountain,1970,25
Lorelei,Styx,1975,4
Pump It Up,Elvis Costello,1978,3
Stray Cat Strut,Stray Cats,1981,6
Land Of Confusion,Genesis,1986,17
